trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.997}",25,0,-136.49711308868652,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
2,False,"{'a': 0.9, 'e': 0.994}",20,10,-10.97193342631775,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
3,False,"{'a': 0.9, 'e': 0.991}",35,21,10.876602411992867,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.9, 'e': 0.988}",25,0,-78.95790471453428,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.9, 'e': 0.985}",20,0,-104.24141676066944,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.9, 'e': 0.982}",25,0,-175.49312729963694,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
7,False,"{'a': 0.9, 'e': 0.979}",20,0,-128.0793052225587,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
8,False,"{'a': 0.9, 'e': 0.976}",30,1,-214.23209680568584,"{0: 14, 1: 2, 2: 10, 3: 0, 4: 3}",1
9,False,"{'a': 0.9, 'e': 0.973}",20,0,-113.37269458839671,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
10,False,"{'a': 0.9, 'e': 0.97}",20,0,-37.04187675014088,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.9, 'e': 0.967}",30,5,-135.9916943172078,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",1
12,False,"{'a': 0.9, 'e': 0.964}",30,18,-33.36082976248635,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 0}",1
13,False,"{'a': 0.9, 'e': 0.961}",25,0,-123.49190289292436,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
14,False,"{'a': 0.9, 'e': 0.958}",30,0,-220.21583583484147,"{0: 14, 1: 2, 2: 9, 3: 3, 4: 2}",0
15,False,"{'a': 0.9, 'e': 0.955}",25,0,-74.62075509826262,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
16,False,"{'a': 0.9, 'e': 0.952}",20,0,-39.1826501321773,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.9, 'e': 0.949}",20,0,-76.48205668263031,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.9, 'e': 0.946}",25,0,-35.64155986197746,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.9, 'e': 0.943}",30,5,-105.81837185292245,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",1
20,False,"{'a': 0.9, 'e': 0.94}",20,0,-105.06696018586769,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
21,False,"{'a': 0.9, 'e': 0.9369999999999999}",25,0,-172.20010804661942,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
22,False,"{'a': 0.9, 'e': 0.9339999999999999}",25,0,-171.40419083078908,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
23,False,"{'a': 0.9, 'e': 0.9309999999999999}",25,0,-69.6401731786581,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
24,False,"{'a': 0.9, 'e': 0.9279999999999999}",20,0,-42.93667101890185,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
25,False,"{'a': 0.9, 'e': 0.9249999999999999}",25,0,-113.24217923631213,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
26,False,"{'a': 0.9, 'e': 0.9219999999999999}",20,0,-82.14720811802047,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
27,False,"{'a': 0.9, 'e': 0.9189999999999999}",25,0,-96.59980745973405,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
28,False,"{'a': 0.9, 'e': 0.9159999999999999}",30,0,-159.44587817450792,"{0: 17, 1: 3, 2: 8, 3: 0, 4: 2}",0
29,False,"{'a': 0.9, 'e': 0.9129999999999999}",20,0,-118.46459569862613,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
30,False,"{'a': 0.9, 'e': 0.9099999999999999}",25,0,-283.8975853050549,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 6}",0
31,False,"{'a': 0.9, 'e': 0.9069999999999999}",20,0,-59.72792653066594,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
32,False,"{'a': 0.9, 'e': 0.9039999999999999}",25,0,-171.80064022619186,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
33,False,"{'a': 0.9, 'e': 0.9009999999999999}",30,0,-108.06462582766775,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
34,False,"{'a': 0.9, 'e': 0.8979999999999999}",20,0,-120.21340862468034,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
35,False,"{'a': 0.9, 'e': 0.8949999999999999}",20,0,-87.20427652305146,"{0: 11, 1: 4, 2: 2, 3: 3, 4: 0}",0
36,False,"{'a': 0.9, 'e': 0.8919999999999999}",25,0,-198.00155175859055,"{0: 11, 1: 4, 2: 7, 3: 0, 4: 3}",0
37,False,"{'a': 0.9, 'e': 0.8889999999999999}",25,0,-230.1480285189686,"{0: 10, 1: 0, 2: 12, 3: 0, 4: 3}",0
38,False,"{'a': 0.9, 'e': 0.8859999999999999}",20,0,-48.21215542726645,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
39,False,"{'a': 0.9, 'e': 0.8829999999999999}",20,0,-104.56779728595488,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",1
40,False,"{'a': 0.9, 'e': 0.8799999999999999}",20,5,-29.54676895343428,"{0: 9, 1: 3, 2: 3, 3: 0, 4: 0}",1
41,False,"{'a': 0.9, 'e': 0.8769999999999999}",25,11,-15.370230667713376,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
42,False,"{'a': 0.9, 'e': 0.8739999999999999}",25,0,-124.19316172627175,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
43,False,"{'a': 0.9, 'e': 0.8709999999999999}",20,0,-71.60870583051272,"{0: 14, 1: 3, 2: 0, 3: 2, 4: 1}",0
44,False,"{'a': 0.9, 'e': 0.8679999999999999}",25,0,-131.91649468176988,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
45,False,"{'a': 0.9, 'e': 0.8649999999999999}",25,0,-164.64164430481205,"{0: 17, 1: 1, 2: 2, 3: 2, 4: 3}",0
46,False,"{'a': 0.9, 'e': 0.8619999999999999}",20,0,-60.84883716360416,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
47,False,"{'a': 0.9, 'e': 0.8589999999999999}",25,0,-136.01003684763162,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
48,False,"{'a': 0.9, 'e': 0.8559999999999999}",25,0,-96.1654783467559,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
49,False,"{'a': 0.9, 'e': 0.8529999999999999}",20,0,-49.7902202751793,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
50,False,"{'a': 0.9, 'e': 0.8499999999999999}",20,0,-138.232382580276,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
51,False,"{'a': 0.9, 'e': 0.8469999999999999}",20,7,-147.00286738986296,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 3}",1
52,False,"{'a': 0.9, 'e': 0.8439999999999999}",20,0,-63.071848549428,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
53,False,"{'a': 0.9, 'e': 0.8409999999999999}",35,0,-69.82531159124626,"{0: 26, 1: 2, 2: 5, 3: 2, 4: 0}",0
54,False,"{'a': 0.9, 'e': 0.8379999999999999}",20,0,-102.60952234419204,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
55,False,"{'a': 0.9, 'e': 0.8349999999999999}",25,0,-122.44064790314897,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
56,False,"{'a': 0.9, 'e': 0.8319999999999999}",25,0,-168.38167658429836,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
57,False,"{'a': 0.9, 'e': 0.8289999999999998}",25,0,-147.7886713000905,"{0: 14, 1: 5, 2: 2, 3: 2, 4: 2}",0
58,False,"{'a': 0.9, 'e': 0.8259999999999998}",25,0,-97.44171604173577,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
59,False,"{'a': 0.9, 'e': 0.8229999999999998}",20,0,-117.30313314859497,"{0: 13, 1: 1, 2: 1, 3: 4, 4: 1}",0
60,False,"{'a': 0.9, 'e': 0.8199999999999998}",20,0,-147.7289490247925,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
61,False,"{'a': 0.9, 'e': 0.8169999999999998}",20,0,-156.44630830159662,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
62,False,"{'a': 0.9, 'e': 0.8139999999999998}",20,0,-40.93827280468255,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
63,False,"{'a': 0.9, 'e': 0.8109999999999998}",20,0,-70.70690951962213,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
64,False,"{'a': 0.9, 'e': 0.8079999999999998}",35,0,-75.20131674968628,"{0: 27, 1: 3, 2: 3, 3: 1, 4: 1}",0
65,False,"{'a': 0.9, 'e': 0.8049999999999998}",25,8,-99.42175636575006,"{0: 8, 1: 1, 2: 7, 3: 0, 4: 1}",1
66,False,"{'a': 0.9, 'e': 0.8019999999999998}",20,1,-35.492272800992524,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 0}",1
67,False,"{'a': 0.9, 'e': 0.7989999999999998}",25,0,-72.99789097312453,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
68,False,"{'a': 0.9, 'e': 0.7959999999999998}",20,0,-74.70107885361224,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
69,False,"{'a': 0.9, 'e': 0.7929999999999998}",30,0,-75.7766823130393,"{0: 20, 1: 0, 2: 10, 3: 0, 4: 0}",0
70,False,"{'a': 0.9, 'e': 0.7899999999999998}",30,0,-180.88232560485798,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 2}",0
71,False,"{'a': 0.9, 'e': 0.7869999999999998}",20,11,-5.639814987090905,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
72,False,"{'a': 0.9, 'e': 0.7839999999999998}",20,0,-60.65348687713597,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
73,False,"{'a': 0.9, 'e': 0.7809999999999998}",30,16,-20.846827537325254,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 0}",1
74,False,"{'a': 0.9, 'e': 0.7779999999999998}",20,0,-117.77188473443336,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
75,False,"{'a': 0.9, 'e': 0.7749999999999998}",25,0,-76.63956986199317,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
76,False,"{'a': 0.9, 'e': 0.7719999999999998}",30,0,-125.15908579364243,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
77,False,"{'a': 0.9, 'e': 0.7689999999999998}",20,0,-70.39056219342756,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
78,False,"{'a': 0.9, 'e': 0.7659999999999998}",20,0,-55.06359284656509,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
79,False,"{'a': 0.9, 'e': 0.7629999999999998}",20,8,-31.82230764783133,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 0}",1
80,False,"{'a': 0.9, 'e': 0.7599999999999998}",25,0,-106.2782641285775,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
81,False,"{'a': 0.9, 'e': 0.7569999999999998}",20,0,-52.06416950417261,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
82,False,"{'a': 0.9, 'e': 0.7539999999999998}",35,6,-118.17066878837701,"{0: 20, 1: 1, 2: 6, 3: 0, 4: 2}",1
83,False,"{'a': 0.9, 'e': 0.7509999999999998}",25,0,-148.47952901182748,"{0: 15, 1: 4, 2: 2, 3: 2, 4: 2}",0
84,False,"{'a': 0.9, 'e': 0.7479999999999998}",20,0,-67.37705468182845,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
85,False,"{'a': 0.9, 'e': 0.7449999999999998}",25,18,6.6698837227857535,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.9, 'e': 0.7419999999999998}",25,0,-96.57838220544924,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
