trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.997}",20,0,-25.72519783383564,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
2,False,"{'a': 0.9, 'e': 0.994}",30,0,-54.37691507739399,"{0: 21, 1: 5, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.9, 'e': 0.991}",25,0,-35.34546956309697,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.9, 'e': 0.988}",30,0,-118.94412888054697,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.9, 'e': 0.985}",20,0,-170.0319362493392,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
6,False,"{'a': 0.9, 'e': 0.982}",35,0,-191.5335628807773,"{0: 19, 1: 6, 2: 7, 3: 0, 4: 3}",0
7,False,"{'a': 0.9, 'e': 0.979}",30,0,-24.19514802954738,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.9, 'e': 0.976}",25,0,-88.31226823887152,"{0: 12, 1: 5, 2: 8, 3: 0, 4: 0}",0
9,False,"{'a': 0.9, 'e': 0.973}",25,0,-75.74538111637348,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.9, 'e': 0.97}",20,0,-134.21793888177004,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.9, 'e': 0.967}",25,0,-148.56336420290688,"{0: 13, 1: 6, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.9, 'e': 0.964}",25,19,-10.649434402064788,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
13,False,"{'a': 0.9, 'e': 0.961}",20,0,-96.49909629666305,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.9, 'e': 0.958}",25,0,-129.40308990084372,"{0: 11, 1: 7, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.9, 'e': 0.955}",20,0,-169.90088695719604,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
16,False,"{'a': 0.9, 'e': 0.952}",30,0,-156.50117159964168,"{0: 20, 1: 2, 2: 4, 3: 2, 4: 2}",0
17,False,"{'a': 0.9, 'e': 0.949}",20,0,-109.10973033766331,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.9, 'e': 0.946}",30,0,-193.45417198003904,"{0: 15, 1: 3, 2: 8, 3: 2, 4: 2}",0
19,False,"{'a': 0.9, 'e': 0.943}",20,0,-55.26638852351577,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
20,False,"{'a': 0.9, 'e': 0.94}",25,0,-135.86981206342966,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",25,0,-99.74559864143593,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-138.5385566700663,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",30,0,-121.05021568510946,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,-97.90767086662473,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-56.25550451973079,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",35,0,-163.28537751771754,"{0: 21, 1: 7, 2: 3, 3: 2, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,0,-70.35322723597052,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-152.81464126089165,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,-86.66661972710695,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-126.87218466731531,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
